Модель,Accuracy,ROC-AUC
Логистическая регрессия,0.8435754189944135,0.8675889328063241
Случайный лес,0.8268156424581006,0.8449275362318841
Градиентный бустинг,0.8044692737430168,0.8310276679841897
Нейронная сеть,0.8044692737430168,0.8259552042160738
Дерево решений,0.8100558659217877,0.8235836627140976
